mesh,add_N,sub,metal,E_ads_H
42,0N,DV,Rh,-0.126899999999978
42,0N,DV,Pd,1.01055000000002
42,0N,DV,Ag,1.86670999999996
42,0N,DV,Hf,-1.59153000000003
42,0N,DV,Ta,-2.27006999999998
42,0N,DV,W,-1.92533000000003
42,0N,DV,Re,-1.36865
42,0N,DV,Os,-0.894240000000025
42,0N,DV,Ir,-0.522030000000029
42,0N,DV,Pt,0.862629999999967
42,0N,DV,Au,2.33985999999999
42,0N,DV_1N,Sc,-0.75612000000001
42,0N,DV_1N,Ti,-1.68364000000003
42,0N,DV_1N,V,-1.47152999999997
42,0N,DV_1N,Cr,-1.09037000000001
42,0N,DV_1N,Mn,-0.189920000000029
42,0N,DV_1N,Fe,0.150620000000004
42,0N,DV_1N,Co,0.306770000000029
42,0N,DV_1N,Ni,1.25387999999998
42,0N,DV_1N,Cu,2.11923000000002
42,0N,DV_1N,Zn,0.912339999999972
42,0N,DV_1N,Y,-0.792940000000101
42,0N,DV_1N,Zr,-1.80002000000007
42,0N,DV_1N,Nb,-1.79881
42,0N,DV_1N,Mo,-1.47197000000006
42,0N,DV_1N,Tc,-1.28042000000005
42,0N,DV_1N,Ru,-0.858200000000011
42,0N,DV_1N,Rh,0.40295999999995
42,0N,DV_1N,Pd,1.14281999999992
42,0N,DV_1N,Ag,2.13504
42,0N,DV_1N,Hf,-2.31363000000005
42,0N,DV_1N,Ta,-2.34949
42,0N,DV_1N,W,-2.01055000000008
42,0N,DV_1N,Re,-1.71933000000001
42,0N,DV_1N,Os,-1.23337999999995
42,0N,DV_1N,Ir,0.128080000000011
42,0N,DV_1N,Pt,1.10339999999997
42,0N,DV_1N,Au,2.39841000000001
42,0N,DV_2N_1,Sc,-1.14474000000001
42,0N,DV_2N_1,Ti,-1.71116000000006
42,0N,DV_2N_1,V,-1.55531999999999
42,0N,DV_2N_1,Cr,-0.902209999999968
42,0N,DV_2N_1,Mn,0.010789999999929
42,0N,DV_2N_1,Fe,0.215569999999957
42,0N,DV_2N_1,Co,0.602779999999939
42,0N,DV_2N_1,Ni,1.60187999999994
42,0N,DV_2N_1,Cu,1.71567999999996
42,0N,DV_2N_1,Zn,0.579389999999989
42,0N,DV_2N_1,Y,-1.08517999999998
42,0N,DV_2N_1,Zr,-1.86016000000001
42,0N,DV_2N_1,Nb,-1.96413999999999
42,0N,DV_2N_1,Mo,-1.65987000000007
42,0N,DV_2N_1,Tc,-1.61682000000002
42,0N,DV_2N_1,Ru,-0.697490000000073
42,0N,DV_2N_1,Rh,0.367509999999982
42,0N,DV_2N_1,Pd,1.87303000000003
42,0N,DV_2N_1,Ag,1.70515999999992
42,0N,DV_2N_1,Hf,-2.38225000000006
42,0N,DV_2N_1,Ta,-2.57267999999993
42,0N,DV_2N_1,W,-2.21922000000001
42,0N,DV_2N_1,Re,-1.65024999999997
42,0N,DV_2N_1,Os,-1.02108999999996
42,0N,DV_2N_1,Ir,0.279899999999941
42,0N,DV_2N_1,Pt,1.90402999999998
42,0N,DV_2N_1,Au,2.03917000000001
42,0N,DV_2N_2,Sc,-1.11227000000002
42,0N,DV_2N_2,Ti,-1.72176999999999
42,0N,DV_2N_2,V,-1.67556999999999
42,0N,DV_2N_2,Cr,-0.831849999999974
42,0N,DV_2N_2,Mn,-0.0964100000000485
42,0N,DV_2N_2,Fe,-0.047580000000039
42,0N,DV_2N_2,Co,0.567589999999996
42,0N,DV_2N_2,Ni,1.64327999999995
42,0N,DV_2N_2,Cu,1.65880999999996
42,0N,DV_2N_2,Zn,1.32345999999995
42,0N,DV_2N_2,Y,-1.01666000000006
42,0N,DV_2N_2,Zr,-1.84240999999997
42,0N,DV_2N_2,Nb,-2.20167000000004
42,0N,DV_2N_2,Mo,-1.73919000000001
42,0N,DV_2N_2,Tc,-1.28193000000005
42,0N,DV_2N_2,Ru,-0.381529999999941
42,0N,DV_2N_2,Rh,0.344439999999963
42,0N,DV_2N_2,Pd,1.74511999999999
42,0N,DV_2N_2,Ag,1.85790999999995
42,0N,DV_2N_2,Hf,-2.37203
42,0N,DV_2N_2,Ta,-2.58308000000005
42,0N,DV_2N_2,W,-2.36386000000005
42,0N,DV_2N_2,Re,-1.79127
42,0N,DV_2N_2,Os,-0.795819999999992
42,0N,DV_2N_2,Ir,0.0403799999999706
42,0N,DV_2N_2,Pt,1.65923999999995
42,0N,DV_2N_2,Au,2.12249999999995
42,0N,DV_3N,Sc,-1.35919000000001
42,0N,DV_3N,Ti,-2.08711999999997
42,0N,DV_3N,V,-1.73241000000007
42,0N,DV_3N,Cr,-0.642670000000066
42,0N,DV_3N,Mn,-0.0686400000000162
42,0N,DV_3N,Fe,0.0811999999999671
42,0N,DV_3N,Co,0.68723
42,0N,DV_3N,Ni,1.50743
42,0N,DV_3N,Cu,1.66036999999994
42,0N,DV_3N,Zn,0.542029999999954
42,0N,DV_3N,Y,-1.30483000000004
42,0N,DV_3N,Zr,-2.36573000000004
42,0N,DV_3N,Nb,-2.26362000000006
42,0N,DV_3N,Mo,-1.73288000000002
42,0N,DV_3N,Tc,-1.26954999999998
42,0N,DV_3N,Ru,-0.515130000000056
42,0N,DV_3N,Rh,0.856110000000001
42,0N,DV_3N,Pd,1.86963999999995
42,0N,DV_3N,Ag,1.51091999999994
42,0N,DV_3N,Hf,-2.77396000000005
42,0N,DV_3N,Ta,-2.53288000000003
42,0N,DV_3N,W,-2.18572
42,0N,DV_3N,Re,-1.69844000000001
42,0N,DV_3N,Os,-0.816880000000083
42,0N,DV_3N,Ir,0.782669999999996
42,0N,DV_3N,Pt,1.79216999999994
42,0N,DV_3N,Au,2.17359999999996
42,0N,DV_4N,Sc,-2.00907000000001
42,0N,DV_4N,Ti,-2.07553000000001
42,0N,DV_4N,V,-1.47416000000004
42,0N,DV_4N,Cr,-0.216489999999965
42,0N,DV_4N,Mn,0.358429999999998
42,0N,DV_4N,Fe,0.722270000000037
42,0N,DV_4N,Co,1.51230999999996
42,0N,DV_4N,Ni,1.90760999999998
42,0N,DV_4N,Cu,1.62074999999999
42,0N,DV_4N,Zn,0.454779999999971
42,0N,DV_4N,Y,-1.96588000000003
42,0N,DV_4N,Zr,-2.51272
42,0N,DV_4N,Nb,-2.29518000000002
42,0N,DV_4N,Mo,-1.52846
42,0N,DV_4N,Tc,-0.768860000000018
42,0N,DV_4N,Ru,-0.138639999999953
42,0N,DV_4N,Rh,0.909289999999942
42,0N,DV_4N,Pd,2.22470999999996
42,0N,DV_4N,Ag,0.652349999999956
42,0N,DV_4N,Hf,-2.86718999999999
42,0N,DV_4N,Ta,-2.52458000000007
42,0N,DV_4N,W,-1.93506000000002
42,0N,DV_4N,Re,-1.29083999999995
42,0N,DV_4N,Os,-0.257670000000019
42,0N,DV_4N,Ir,0.956439999999986
42,0N,DV_4N,Pt,2.25415999999996
42,0N,DV_4N,Au,2.06921
42,0N,HV,Sc,-0.293800000000005
42,0N,HV,Ti,-1.45927999999998
42,0N,HV,V,-1.50774000000001
42,0N,HV,Cr,-0.690389999999979
42,0N,HV,Mn,0.598480000000023
42,0N,HV,Fe,0.830720000000042
42,0N,HV,Co,0.963020000000029
42,0N,HV,Ni,1.75116000000003
42,0N,HV,Cu,2.20026000000001
42,0N,HV,Zn,1.72811999999999
42,0N,HV,Y,-0.211119999999994
42,0N,HV,Zr,-1.40424999999999
42,0N,HV,Nb,-1.80922999999999
42,0N,HV,Mo,-1.62254000000002
42,0N,HV,Tc,-1.10981000000001
42,0N,HV,Ru,-0.615070000000003
42,0N,HV,Rh,0.667760000000015
42,0N,HV,Pd,2.05635999999998
42,0N,HV,Ag,2.52766000000003
42,0N,HV,Hf,-1.94059999999999
42,0N,HV,Ta,-2.37662
42,0N,HV,W,-2.21395999999999
42,0N,HV,Re,-1.49029999999996
42,0N,HV,Os,-0.933329999999984
42,0N,HV,Ir,0.368490000000008
42,0N,HV,Pt,1.93927000000002
42,0N,HV,Au,2.54984999999999
42,0N,HV_1N,Sc,-0.494319999999988
42,0N,HV_1N,Ti,-1.52710999999996
42,0N,HV_1N,V,-1.42926
42,0N,HV_1N,Cr,-0.365730000000013
42,0N,HV_1N,Mn,0.56486000000001
42,0N,HV_1N,Fe,0.847740000000016
42,0N,HV_1N,Co,0.958270000000027
42,0N,HV_1N,Ni,1.60926000000001
42,0N,HV_1N,Cu,2.08443
42,0N,HV_1N,Zn,1.76295000000002
42,0N,HV_1N,Y,-0.387769999999989
42,0N,HV_1N,Zr,-1.52779000000001
42,0N,HV_1N,Nb,-2.1087
42,0N,HV_1N,Mo,-1.65734
42,0N,HV_1N,Tc,-0.885709999999989
42,0N,HV_1N,Ru,-0.389139999999998
42,0N,HV_1N,Rh,0.749690000000015
42,0N,HV_1N,Pd,1.93344000000002
42,0N,HV_1N,Ag,0.937979999999982
42,0N,HV_1N,Hf,-2.05249999999998
42,0N,HV_1N,Ta,-2.57656999999998
42,0N,HV_1N,W,-2.17571999999996
42,0N,HV_1N,Re,-1.21538000000001
42,0N,HV_1N,Os,-0.633579999999995
42,0N,HV_1N,Ir,0.57758000000004
42,0N,HV_1N,Pt,1.84344999999999
42,0N,HV_1N,Au,2.49598999999998
42,0N,HV_2N_1,Sc,-0.597890000000007
42,0N,HV_2N_1,Ti,-1.68079
42,0N,HV_2N_1,V,-1.32599000000002
42,0N,HV_2N_1,Cr,-0.0828199999999697
42,0N,HV_2N_1,Mn,0.569720000000018
42,0N,HV_2N_1,Fe,0.817530000000005
42,0N,HV_2N_1,Co,0.90831
42,0N,HV_2N_1,Ni,1.55022000000002
42,0N,HV_2N_1,Cu,2.13984000000002
42,0N,HV_2N_1,Zn,1.62845000000002
42,0N,HV_2N_1,Y,-0.478149999999971
42,0N,HV_2N_1,Zr,-1.99273000000002
42,0N,HV_2N_1,Nb,-2.06571
42,0N,HV_2N_1,Mo,-1.50097
42,0N,HV_2N_1,Tc,-0.374409999999955
42,0N,HV_2N_1,Ru,-0.0284599999999671
42,0N,HV_2N_1,Rh,0.715600000000023
42,0N,HV_2N_1,Pd,1.90795
42,0N,HV_2N_1,Ag,2.49495000000002
42,0N,HV_2N_1,Hf,-2.49768
42,0N,HV_2N_1,Ta,-2.48492000000002
42,0N,HV_2N_1,W,-2.02697999999998
42,0N,HV_2N_1,Re,-0.74927999999997
42,0N,HV_2N_1,Os,-0.34899999999999
42,0N,HV_2N_1,Ir,0.671419999999983
42,0N,HV_2N_1,Pt,1.88281000000001
42,0N,HV_2N_1,Au,2.59712000000005
42,0N,HV_2N_2,Sc,-0.737499999999983
42,0N,HV_2N_2,Ti,-1.58454999999998
42,0N,HV_2N_2,V,-1.35478999999998
42,0N,HV_2N_2,Cr,-0.209300000000013
42,0N,HV_2N_2,Mn,0.633410000000026
42,0N,HV_2N_2,Fe,0.754400000000032
42,0N,HV_2N_2,Co,0.937540000000013
42,0N,HV_2N_2,Ni,1.65781000000001
42,0N,HV_2N_2,Cu,0.536970000000025
42,0N,HV_2N_2,Zn,0.419340000000005
42,0N,HV_2N_2,Y,-0.586359999999985
42,0N,HV_2N_2,Zr,-1.76944999999998
42,0N,HV_2N_2,Nb,-1.98303999999999
42,0N,HV_2N_2,Mo,-1.4034
42,0N,HV_2N_2,Tc,-0.504719999999992
42,0N,HV_2N_2,Ru,-0.264060000000001
42,0N,HV_2N_2,Rh,0.890590000000003
42,0N,HV_2N_2,Pd,2.03018000000003
42,0N,HV_2N_2,Ag,0.80000000000004
42,0N,HV_2N_2,Hf,-2.25805
42,0N,HV_2N_2,Ta,-2.42133000000001
42,0N,HV_2N_2,W,-2.00545
42,0N,HV_2N_2,Re,-0.862549999999999
42,0N,HV_2N_2,Os,-0.63140999999996
42,0N,HV_2N_2,Ir,0.738420000000019
42,0N,HV_2N_2,Pt,1.92491000000004
42,0N,HV_2N_2,Au,2.52698000000004
42,0N,HV_3N,Sc,-0.955019999999962
42,0N,HV_3N,Ti,-1.42000999999999
42,0N,HV_3N,V,-1.01898
42,0N,HV_3N,Cr,0.164110000000022
42,0N,HV_3N,Mn,0.766009999999994
42,0N,HV_3N,Fe,0.763669999999991
42,0N,HV_3N,Co,1.13218000000001
42,0N,HV_3N,Ni,1.83684
42,0N,HV_3N,Cu,0.382220000000018
42,0N,HV_3N,Zn,1.80260000000001
42,0N,HV_3N,Y,-0.900010000000009
42,0N,HV_3N,Zr,-2.03448
42,0N,HV_3N,Nb,-1.91686999999999
42,0N,HV_3N,Mo,-1.01950999999997
42,0N,HV_3N,Tc,0.016900000000021
42,0N,HV_3N,Ru,0.130770000000012
42,0N,HV_3N,Rh,0.811850000000021
42,0N,HV_3N,Pd,2.30967000000001
42,0N,HV_3N,Ag,0.44598000000002
42,0N,HV_3N,Hf,-2.52465999999998
42,0N,HV_3N,Ta,-2.15969999999999
42,0N,HV_3N,W,-1.55175
42,0N,HV_3N,Re,-0.39325999999997
42,0N,HV_3N,Os,-0.224220000000003
42,0N,HV_3N,Ir,0.83569
42,0N,HV_3N,Pt,2.26978999999997
42,0N,HV_3N,Au,2.61536000000001
42,0N,HV_4N,Sc,-0.860919999999993
42,0N,HV_4N,Ti,-1.23312999999996
42,0N,HV_4N,V,-0.735870000000006
42,0N,HV_4N,Cr,0.39817000000005
42,0N,HV_4N,Mn,0.858900000000006
42,0N,HV_4N,Fe,0.894810000000007
42,0N,HV_4N,Co,1.31927999999999
42,0N,HV_4N,Ni,1.84091000000001
42,0N,HV_4N,Cu,2.19841000000002
42,0N,HV_4N,Zn,1.66049000000001
42,0N,HV_4N,Y,-0.941309999999987
42,0N,HV_4N,Zr,-2.20401000000001
42,0N,HV_4N,Nb,-1.81647000000001
42,0N,HV_4N,Mo,-0.655010000000004
42,0N,HV_4N,Tc,-0.0803899999999942
42,0N,HV_4N,Ru,0.225570000000005
42,0N,HV_4N,Rh,1.19768000000002
42,0N,HV_4N,Pd,2.42724999999999
42,0N,HV_4N,Ag,2.63160999999999
42,0N,HV_4N,Hf,-2.65539999999999
42,0N,HV_4N,Ta,-1.75345999999999
42,0N,HV_4N,W,-1.16568999999998
42,0N,HV_4N,Re,-0.505019999999973
42,0N,HV_4N,Os,-0.0325200000000052
42,0N,HV_4N,Ir,1.17143000000002
42,0N,HV_4N,Pt,2.38622000000004
42,0N,HV_4N,Au,2.63674
42,1N,SV,Sc,-0.802510000000041
42,1N,SV,Ti,-1.75586999999996
42,1N,SV,V,-1.51900000000006
42,1N,SV,Cr,-1.35074000000009
42,1N,SV,Mn,-1.2158
42,1N,SV,Fe,-0.955309999999997
42,1N,SV,Co,-0.489370000000065
42,1N,SV,Ni,-0.707329999999956
42,1N,SV,Cu,-0.257069999999999
42,1N,SV,Zn,-0.321150000000046
42,1N,SV,Y,-0.790840000000003
42,1N,SV,Zr,-1.82704000000007
42,1N,SV,Nb,-1.69916000000006
42,1N,SV,Mo,-1.55927000000003
42,1N,SV,Tc,-1.1463
42,1N,SV,Ru,-0.931930000000023
42,1N,SV,Rh,-0.210700000000031
42,1N,SV,Pd,-0.565500000000043
42,1N,SV,Ag,-0.103310000000022
42,1N,SV,Hf,-2.09121000000005
42,1N,SV,Ta,-2.17640999999998
42,1N,SV,W,-2.05863000000005
42,1N,SV,Re,-1.63925
42,1N,SV,Os,-1.48203000000001
42,1N,SV,Ir,-0.859579999999994
42,1N,SV,Pt,-0.914000000000044
42,1N,SV,Au,-0.707650000000058
42,1N,SV_1N,Sc,-1.7715
42,1N,SV_1N,Ti,-2.06731000000002
42,1N,SV_1N,V,-1.80663000000004
42,1N,SV_1N,Cr,-1.62904000000003
42,1N,SV_1N,Mn,-1.28937999999994
42,1N,SV_1N,Fe,-1.03621000000004
42,1N,SV_1N,Co,-0.973659999999995
42,1N,SV_1N,Ni,-0.694920000000025
42,1N,SV_1N,Cu,-0.72602999999998
42,1N,SV_1N,Zn,-0.369010000000003
42,1N,SV_1N,Y,-1.69059000000004
42,1N,SV_1N,Zr,-2.29753000000005
42,1N,SV_1N,Nb,-2.04610000000008
42,1N,SV_1N,Mo,-1.80885000000001
42,1N,SV_1N,Tc,-1.46373999999997
42,1N,SV_1N,Ru,-0.936750000000018
42,1N,SV_1N,Rh,-0.864029999999957
42,1N,SV_1N,Pd,0.11050999999992
42,1N,SV_1N,Ag,-0.413459999999986
42,1N,SV_1N,Hf,-2.55808000000002
42,1N,SV_1N,Ta,-2.46982000000003
42,1N,SV_1N,W,-2.34456999999998
42,1N,SV_1N,Re,-1.95620999999994
42,1N,SV_1N,Os,-1.60424999999998
42,1N,SV_1N,Ir,-1.33494000000002
42,1N,SV_1N,Pt,-0.31959999999998
42,1N,SV_1N,Au,-0.952420000000018
42,1N,SV_2N,Sc,-2.34566000000001
42,1N,SV_2N,Ti,-2.24767000000008
42,1N,SV_2N,V,-1.99099000000001
42,1N,SV_2N,Cr,-1.78474
42,1N,SV_2N,Mn,-1.36265000000009
42,1N,SV_2N,Fe,-1.10622000000006
42,1N,SV_2N,Co,-0.836459999999988
42,1N,SV_2N,Ni,-0.550640000000044
42,1N,SV_2N,Cu,-0.333880000000079
42,1N,SV_2N,Zn,-1.07409000000001
42,1N,SV_2N,Y,-2.2448
42,1N,SV_2N,Zr,-2.40250000000003
42,1N,SV_2N,Nb,-2.33655000000005
42,1N,SV_2N,Mo,-1.94619999999998
42,1N,SV_2N,Tc,-1.62870000000004
42,1N,SV_2N,Ru,-1.05502999999999
42,1N,SV_2N,Rh,-0.620290000000068
42,1N,SV_2N,Pd,-0.280770000000018
42,1N,SV_2N,Ag,0.355909999999938
42,1N,SV_2N,Hf,-2.70182000000005
42,1N,SV_2N,Ta,-2.64163000000002
42,1N,SV_2N,W,-2.42553000000004
42,1N,SV_2N,Re,-2.15089999999998
42,1N,SV_2N,Os,-1.76647000000003
42,1N,SV_2N,Ir,-1.39543000000003
42,1N,SV_2N,Pt,-0.974440000000016
42,1N,SV_2N,Au,0.39303000000001
42,1N,SV_3N,Sc,-2.54266000000001
42,1N,SV_3N,Ti,-2.36188000000004
42,1N,SV_3N,V,-1.98639000000003
42,1N,SV_3N,Cr,-1.71350000000001
42,1N,SV_3N,Mn,-1.34976000000006
42,1N,SV_3N,Fe,-1.36641000000009
42,1N,SV_3N,Co,-0.84226000000001
42,1N,SV_3N,Ni,-0.947589999999991
42,1N,SV_3N,Cu,-0.459220000000016
42,1N,SV_3N,Zn,-1.03719000000001
42,1N,SV_3N,Y,-2.35186999999996
42,1N,SV_3N,Zr,-2.58264000000003
42,1N,SV_3N,Nb,-2.43370999999996
42,1N,SV_3N,Mo,-2.31855999999999
42,1N,SV_3N,Tc,-1.54412000000002
42,1N,SV_3N,Ru,-1.26515000000001
42,1N,SV_3N,Rh,-0.605290000000025
42,1N,SV_3N,Pd,0.0445199999999772
42,1N,SV_3N,Ag,0.15417999999994
42,1N,SV_3N,Hf,-2.75756000000001
42,1N,SV_3N,Ta,-2.70739000000003
42,1N,SV_3N,W,-2.53343999999998
42,1N,SV_3N,Re,-2.82230000000004
42,1N,SV_3N,Os,-1.92046000000005
42,1N,SV_3N,Ir,-1.4914
42,1N,SV_3N,Pt,-0.992850000000033
42,1N,SV_3N,Au,-0.400239999999997
42,1N,DV,Sc,-0.600620000000049
42,1N,DV,Ti,-1.63231999999999
42,1N,DV,V,-1.54894000000007
42,1N,DV,Cr,-1.24536999999998
42,1N,DV,Mn,-0.319340000000011
42,1N,DV,Fe,-0.0381100000000174
42,1N,DV,Co,0.11493999999999
42,1N,DV,Ni,0.980689999999981
42,1N,DV,Cu,2.06925999999999
42,1N,DV,Zn,1.07372999999996
42,1N,DV,Y,-0.619200000000035
42,1N,DV,Zr,-1.71477000000004
42,1N,DV,Nb,-1.64742999999999
42,1N,DV,Mo,-1.47179000000006
42,1N,DV,Tc,-1.08799999999997
42,1N,DV,Ru,-0.907809999999984
42,1N,DV,Rh,-0.0126300000000015
42,1N,DV,Pd,1.02566999999993
42,1N,DV,Ag,2.24591999999996
42,1N,DV,Hf,-2.22888999999998
42,1N,DV,Ta,-2.26248000000004
42,1N,DV,W,-1.98814999999996
42,1N,DV,Re,-1.57242000000002
42,1N,DV,Os,-1.30137000000008
42,1N,DV,Ir,-0.231830000000002
42,1N,DV,Pt,1.01722999999998
42,1N,DV,Au,2.49245000000002
42,1N,DV_1N,Sc,-1.14826999999997
42,1N,DV_1N,Ti,-1.67234000000002
42,1N,DV_1N,V,-1.55011000000002
42,1N,DV_1N,Cr,-1.20943999999997
42,1N,DV_1N,Mn,-0.213810000000024
42,1N,DV_1N,Fe,0.0920699999999783
42,1N,DV_1N,Co,0.37299999999999
42,1N,DV_1N,Ni,1.47868
42,1N,DV_1N,Cu,1.67692
42,1N,DV_1N,Zn,0.97270999999995
42,1N,DV_1N,Y,-1.06676000000004
42,1N,DV_1N,Zr,-1.75630999999998
42,1N,DV_1N,Nb,-2.01658000000003
42,1N,DV_1N,Mo,-1.63423
42,1N,DV_1N,Tc,-1.45990999999998
