pred,test
-1.528541088104248,-1.48653000000002
-1.2624763250350952,-1.52537000000001
0.45413893461227417,0.367509999999982
-2.6135458946228027,-2.52618000000001
-0.6675572395324707,-0.758169999999978
-0.4050561487674713,-0.197749999999985
-2.1026952266693115,-2.11360999999999
-0.8890703320503235,-0.757229999999993
2.036327838897705,2.63160999999999
-0.343773752450943,-0.411720000000003
-2.362489700317383,-2.49768
-2.502702474594116,-2.69777000000005
2.0743227005004883,2.14857000000001
-0.01467123907059431,0.13131999999996
-2.261582851409912,-2.16075000000001
-1.5907963514328003,-1.57052999999999
1.971083402633667,1.92610000000002
1.2855027914047241,1.31927999999999
-1.5303806066513062,-1.56916999999999
-1.1549322605133057,-1.14826999999997
1.1814112663269043,1.08839
0.36901798844337463,0.328509999999994
1.6954749822616577,1.55022000000002
-0.4529818594455719,-0.566269999999975
-1.4821891784667969,-1.53953999999999
-0.07824095338582993,-0.0109300000000871
-0.8722325563430786,-0.74927999999997
0.00880113523453474,-0.103310000000022
0.6997681260108948,0.713129999999978
2.268585443496704,2.28008999999997
0.19197162985801697,-0.047580000000039
-2.456120014190674,-2.47156000000001
-2.124844551086426,-2.11427000000003
-1.9573873281478882,-1.85978000000011
1.6413551568984985,1.58107000000001
-1.6218035221099854,-1.53901000000002
-1.4712345600128174,-1.49348999999998
-1.3810672760009766,-1.28193000000005
-1.946642279624939,-2.07665999999998
0.9219444394111633,0.777049999999974
1.6667449474334717,1.71567999999996
-1.467206597328186,-1.47730000000001
-1.549565315246582,-1.28262999999998
-1.4249439239501953,-1.52846
0.335556298494339,0.562569999999937
-2.0834197998046875,-2.06425000000002
1.9557052850723267,1.37646999999998
0.7270960211753845,0.865729999999985
-1.385274887084961,-1.28937999999994
-1.926780343055725,-2.1087
-2.512277126312256,-2.46083999999996
1.7117046117782593,1.68272999999999
0.40861982107162476,0.402140000000031
-0.7094907760620117,-0.914000000000044
-0.874114990234375,-0.860960000000034
-0.08193521201610565,0.017659999999978
0.03978995233774185,0.000560000000007221
-1.2766274213790894,-1.30536000000001
-0.793131947517395,-1.19747000000001
-1.1649644374847412,-1.45401000000004
2.3997387886047363,2.42942000000002
1.0010861158370972,1.12108000000001
2.6610970497131348,2.65404000000004
-2.602705240249634,-2.55965000000003
-2.6558756828308105,-2.65055000000001
0.7541971206665039,0.632000000000005
-1.832776427268982,-1.85739000000001
1.741736650466919,1.66049000000001
-0.599253237247467,-0.489370000000065
2.3595337867736816,2.31383000000002
-2.474844455718994,-2.51272
0.2721957564353943,0.253420000000034
0.05783049017190933,-0.0156200000000126
2.059114933013916,2.18367999999998
-1.7810825109481812,-1.59448999999995
-1.9524171352386475,-2.06518000000005
1.803370714187622,1.84344999999999
-0.3135760724544525,-0.48896000000002
-1.3126145601272583,-1.07024000000007
-0.09813174605369568,0.0204400000000078
-1.2856954336166382,-1.45990999999998
-2.366062641143799,-2.30878999999999
-2.106541395187378,-2.26269000000002
-2.7824339866638184,-2.75756000000001
-0.4059174656867981,-0.319340000000011
-0.5081616640090942,-0.606389999999976
-2.7823705673217773,-2.6857
-1.252286672592163,-1.26564999999999
-2.2374002933502197,-2.42529000000002
-2.17710018157959,-2.21395999999999
-2.1537883281707764,-2.15719000000001
-0.7429949641227722,-0.687280000000044
-0.2497776746749878,-0.312430000000006
-1.9500070810317993,-2.08443000000005
-0.18299902975559235,-0.315470000000005
1.9523937702178955,1.93344000000002
-2.0755600929260254,-2.12508
-0.7083730101585388,-0.651350000000008
-1.2449886798858643,-1.31096000000002
0.8054892420768738,0.824220000000025
-1.8132450580596924,-2.26124999999999
-1.2097173929214478,-1.35553999999999
-1.7829780578613281,-1.82704000000007
-0.03780723363161087,-0.0943700000000263
